Variable Name,Type,Unit,Source ,Description
Roughness_,Categorical,unitless,DataVic (Pavement Condition Dataset),"Categorical measure of road surface roughness based on International Roughness Index (IRI) (e.g. Good: <3.4 IRI, Poor: ≥4.2 IRI)."
Rutting_Ca,Categorical,unitless,DataVic (Pavement Condition Dataset),"Categorical measure of road surface rutting (e.g. Good: <10 mm, Poor: ≥15 mm)."
Cracking_C,Categorical,unitless,DataVic (Pavement Condition Dataset),"Categorical measure of road surface cracking (e.g. Good: <10%, Poor: ≥10%)."
rx5d_gwl-current,Numeric,mm,Australian Climate Service (Hazard Insights Explorer),Highest five-day rainfall total in a year at the current global warming level (GWL) of 1.2°C.
tn02_gwl-current,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with minimum daily temperature ≤2°C (potential frost days) at GWL 1.2°C.
tx40_gwl-current,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with maximum daily temperature ≥40°C at GWL 1.2°C.
tgm_max_gwl-current,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Maximum annual average daily mean temperature at GWL 1.2°C.
tgm_min_gwl-current,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Minimum annual average daily mean temperature at GWL 1.2°C.
spi3_gwl-current,Numeric,%,Australian Climate Service (Hazard Insights Explorer),Proportion of time where the 3-month Standardised Precipitation Index (SPI) is ≤-1 at GWL 1.2°C.
rx5d_gwl-1.5,Numeric,mm,Australian Climate Service (Hazard Insights Explorer),Highest five-day rainfall total in a year at GWL 1.5°C.
tn02_gwl-1.5,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with minimum daily temperature ≤2°C (potential frost days) at GWL 1.5°C.
tx40_gwl-1.5,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with maximum daily temperature ≥40°C at GWL 1.5°C.
tgm_max_gwl-1.5,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Maximum annual average daily mean temperature at GWL 1.5°C.
tgm_min_gwl-1.5,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Minimum annual average daily mean temperature at GWL 1.5°C.
spi3_gwl-1.5,Numeric,%,Australian Climate Service (Hazard Insights Explorer),Proportion of time where the 3-month Standardised Precipitation Index (SPI) is ≤-1 at GWL 1.5°C.
rx5d_gwl-2.0,Numeric,mm,Australian Climate Service (Hazard Insights Explorer),Highest five-day rainfall total in a year at GWL 2.0°C.
tn02_gwl-2.0,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with minimum daily temperature ≤2°C (potential frost days) at GWL 2.0°C.
tx40_gwl-2.0,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with maximum daily temperature ≥40°C at GWL 2.0°C.
tgm_max_gwl-2.0,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Maximum annual average daily mean temperature at GWL 2.0°C.
tgm_min_gwl-2.0,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Minimum annual average daily mean temperature at GWL 2.0°C.
spi3_gwl-2.0,Numeric,%,Australian Climate Service (Hazard Insights Explorer),Proportion of time where the 3-month Standardised Precipitation Index (SPI) is ≤-1 at GWL 2.0°C.
rx5d_gwl-3.0,Numeric,mm,Australian Climate Service (Hazard Insights Explorer),Highest five-day rainfall total in a year at GWL 3.0°C.
tn02_gwl-3.0,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with minimum daily temperature ≤2°C (potential frost days) at GWL 3.0°C.
tx40_gwl-3.0,Numeric,Days,Australian Climate Service (Hazard Insights Explorer),Average number of days per year with maximum daily temperature ≥40°C at GWL 3.0°C.
tgm_max_gwl-3.0,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Maximum annual average daily mean temperature at GWL 3.0°C.
tgm_min_gwl-3.0,Numeric,°C,Australian Climate Service (Hazard Insights Explorer),Minimum annual average daily mean temperature at GWL 3.0°C.
spi3_gwl-3.0,Numeric,%,Australian Climate Service (Hazard Insights Explorer),Proportion of time where the 3-month Standardised Precipitation Index (SPI) is ≤-1 at GWL 3.0°C.
link_length,Numeric,m,Derived,Calculated length of the road link in metres.
NON_TRUCKS_AADT,Numeric,vehicles/day,Derived,"Average annual daily traffic for non-truck vehicles, computed as ALLVEHS_AA minus TRUCKS_AAD."
road_link_id,String,unitless,Derived,"Unique identifier for each road link, generated as a concatenation of OBJECTID_1 and a segment index."
Geometry,Geometry,unitless,Fused dataset,Spatial geometry of the road link as a LineString in GDA94/Vicgrid projection (EPSG:3111).
